НАЗИВ УЛИЦЕ;НАЗИВ ШКОЛЕ;Slika;Telefon;adresa;Email;sajt
Господар Јевремова-десна страна од центра града (парни бројеви);"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-499;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Дамњана Маринковића;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-500;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Дебрчка;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-501;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Добропољска;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-502;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Другог прекобројног пука;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-503;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Др Николе Ђорића;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-504;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Душана Матића;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-505;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Живојина Јуришића;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-506;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Заслонска;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-507;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Јанка Веселиновића  од улице кнеза Милоша до краја улице;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-508;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Јарачких жртава;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-509;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Јеле Спиридоновић Савић;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-510;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Јована Ђорђевића;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-511;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Јове Курсуле;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-512;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Јоце Јовановића Шапчанина;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-513;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Камичка ;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-514;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Кнеза Иве од Семберије;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-515;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Кнез Михаилова;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-516;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Кнеза Мирослава;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-517;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Косте Главинића;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-518;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Краља Александра;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-519;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Краља Милана ;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-520;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Крсмановача;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-521;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Лазе Лазаревића;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-522;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Љубе Ненадовића;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-523;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Љубе Стојановића;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-524;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Маре Лукић Јелесић;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-525;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Мачванска-десна страна од центра града ( парни бројеви);"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-526;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Милорада Шапчанина;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-527;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Митрополита Фирмилијана  Дражића;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-528;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Надежде Петровић;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-529;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Николе Цоловића;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-530;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Павла Јуришића Штурма;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-531;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Паје Јовановића;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-532;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Петра Бајаловића;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-533;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Петра Сокољанина;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-534;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Пилота Илића;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-535;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Пилота Танасића;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-536;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Пионирска;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-537;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Пољопривредна;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-538;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Проте Игњата Васића;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-539;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Саве Мркаља;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-540;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Савска;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-541;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Сремска;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-542;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Стевана Чалића;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-543;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Трг ђачког батаљона;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-544;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Трг српских ратника;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-545;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Трећег коњичког пука;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-546;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Троношка;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-547;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Уроша Предића;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-548;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Хајдук Станка;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-549;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Чеврнтија;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-550;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
1300 Каплара;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-326;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Авде Карабеговића;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-327;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Анте Богићевића;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-328;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Архимандрита Милорада Рувидића;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-329;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Архимандрита Стевана Јовановића-од раскрснице са улицом Стојана Новаковића до краја улице;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-330;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Бањичких жртава;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-331;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Београдска;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-332;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Босанска;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-333;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Браће Недића- од улице Стојана Новаковића до краја улице;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-334;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Брегалничка;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-335;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Видовданска;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-336;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Војводе Вука;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-337;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Војводе Путника-лева страна  од центра града;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-338;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Вука Караџића;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-339;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Господар Јевремова-од раскрнице са улицом Стојана Новаковића до раскрнице са улицом Вука Караџића-лева страна од центра града;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-340;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Драгише Пењина;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-341;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Дринског артиљеријског пука;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-342;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Дулаћева;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-343;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Зеке Буљубаше;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-344;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Колонија Мачве;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-345;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Краљевића Марка;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-346;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Македонска;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-347;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Маричка;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-348;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Мачванска-лева страна од центра града ( непарни бројеви);"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-349;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Милића од Мачве;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-350;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Милунке Савић;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-351;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Немањина;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-352;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Нова 71;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-353;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Нова 72;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-354;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Нова 73;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-355;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Нова 74;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-356;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Ослобођења- од раскрснице са улицом Стојана Новаковића до краја улице;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-357;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Подрињска;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-358;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Ратних инвалида;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-359;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Рембрантова;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-360;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Стевана Јаковљевића;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-361;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Стојана Новаковића;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-362;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Стојана Чупића;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-363;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Тамнавска;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-364;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Цицварића;"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-365;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Шестог пука-десна страна од центра града (парни бројеви);"ОШ ""Вук Караџић"" Шабац";https://i.ibb.co/0D7mRNb/Vuk-Karadzic.jpg;Директор: 015/​341-537 Секретаријат: 015/343-366;Вука Караџића 14, Шабац;direktorosvuk@gmail.com;www.osvukkaradzicsabac.edu.rs
Алексе Шантића-од улице Грмићске  до Ђукановића сокака;"ОШ ""Николај Велимировић"" Шабац";https://i.ibb.co/wBWSzCx/nikolaj-velimirovic.jpg;015/360-110;Владе Јовановића 52, 15000 Шабац;osnikolaj@mts.rs;www.osnvelimirovic.edu.rs
